平成24年,人口動態調査,,
中巻　総覧　　第１表,人口動態総覧，都道府県（２１大都市再掲）別
注：熊本市は平成２４年４月から指定都市となったが、１月分からの数値を計上している。
　　１）　死産率は死産数を出産数（死産数に出生数を加えたもの）で除している。
　　２）　周産期死亡率は周産期死亡数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。
　　３）　妊娠満22週以後の死産率は、妊娠満22週以後の死産数を出産数（妊娠満22週以後の死産数に出生数を加えたもの）で除している。
,出生数,（再掲）,死亡数,（再掲）,,自　然,死産数,,,周産期死亡数,,,婚姻件数,離婚件数,出生率,出生子,死亡率,乳　児,新生児,自　然,死産率,自　然,人　工,周産期,22週以後,早期新生,婚姻率,離婚率
,　　　,2500g未満,　　　,乳児死亡数,新生児,増減数,総　数,自然死産,人工死産,総　数,22週以後,早期新生児,　　　,　　　,　　　,の性比,　　　,死亡率,死亡率,増減率,　　　,死産率,死産率,死亡率,の死産率,児死亡率,　　　,　　　
,,,,,死亡数,,,,,,の死産数,死亡数,,,(人口千対),女100対男,(人口千対),(出生千対),(出生千対),(人口千対),(出産千対),(出産千対),(出産千対),(出産千対),(出産千対),(出生千対),(人口千対),(人口千対)
２６京　都,20111,1975,25416,40,24,-5305,464,207,257,77,60,17,13189,4646,7.8,108.0,9.8,2.0,1.2,-2.1,22.6,10.1,12.5,3.8,3.0,0.8,5.1,1.80
２７大　阪,73012,6920,80472,154,62,-7460,1723,772,951,290,242,48,48114,18761,8.4,105.1,9.3,2.1,0.8,-0.9,23.1,10.3,12.7,4.0,3.3,0.7,5.5,2.16
２８兵　庫,46436,4392,53657,79,20,-7221,1066,518,548,156,142,14,28236,10264,8.4,105.6,9.8,1.7,0.4,-1.3,22.4,10.9,11.5,3.3,3.0,0.3,5.1,1.87
２９奈　良,10565,955,13656,25,7,-3091,269,124,145,35,31,4,6223,2390,7.7,104.7,9.9,2.4,0.7,-2.2,24.8,11.4,13.4,3.3,2.9,0.4,4.5,1.73
３０和歌山,7424,661,12435,15,9,-5011,159,64,95,30,22,8,4664,1959,7.6,103.6,12.7,2.0,1.2,-5.1,21.0,8.4,12.5,4.0,3.0,1.1,4.7,1.99
３１鳥　取,4771,447,7074,9,7,-2303,115,49,66,25,19,6,2759,1065,8.3,101.4,12.2,1.9,1.5,-4.0,23.5,10.0,13.5,5.2,4.0,1.3,4.8,1.84
３２島　根,5585,584,9513,11,6,-3928,138,57,81,19,14,5,3114,1014,8.0,114.0,13.6,2.0,1.1,-5.6,24.1,10.0,14.2,3.4,2.5,0.9,4.4,1.44
３３岡　山,16279,1482,21181,38,16,-4902,357,140,217,55,43,12,9570,3518,8.5,106.0,11.0,2.3,1.0,-2.6,21.5,8.4,13.0,3.4,2.6,0.7,5.0,1.83
３４広　島,24846,2391,29273,57,26,-4427,526,260,266,100,81,19,14668,5074,8.8,104.9,10.4,2.3,1.0,-1.6,20.7,10.2,10.5,4.0,3.2,0.8,5.2,1.80
３５山　口,10797,1060,18231,26,10,-7434,264,123,141,36,27,9,6547,2390,7.6,105.3,12.8,2.4,0.9,-5.2,23.9,11.1,12.7,3.3,2.5,0.8,4.6,1.68
３６徳　島,5744,481,9781,25,11,-4037,143,65,78,25,18,7,3370,1254,7.4,106.8,12.7,4.4,1.9,-5.2,24.3,11.0,13.2,4.3,3.1,1.2,4.4,1.62
３７香　川,8161,757,11369,15,8,-3208,165,91,74,41,33,8,4789,1887,8.3,104.1,11.6,1.8,1.0,-3.3,19.8,10.9,8.9,5.0,4.0,1.0,4.9,1.92
３８愛　媛,11130,961,17216,28,18,-6086,292,108,184,41,31,10,6386,2529,7.9,104.9,12.2,2.5,1.6,-4.3,25.6,9.5,16.1,3.7,2.8,0.9,4.5,1.80
３９高　知,5266,592,10142,13,8,-4876,153,58,95,24,19,5,3257,1403,7.0,102.9,13.5,2.5,1.5,-6.5,28.2,10.7,17.5,4.5,3.6,0.9,4.3,1.87
４０福　岡,45815,4521,48957,94,47,-3142,1251,542,709,194,158,36,27974,10541,9.1,105.9,9.7,2.1,1.0,-0.6,26.6,11.5,15.1,4.2,3.4,0.8,5.5,2.09
４１佐　賀,7440,676,9676,12,4,-2236,176,81,95,18,14,4,4003,1471,8.9,105.4,11.5,1.6,0.5,-2.7,23.1,10.6,12.5,2.4,1.9,0.5,4.8,1.75
４２長　崎,11723,1037,16784,27,18,-5061,325,146,179,46,37,9,6335,2450,8.4,104.2,12.0,2.3,1.5,-3.6,27.0,12.1,14.9,3.9,3.1,0.8,4.5,1.75
４３熊　本,15996,1545,20565,39,16,-4569,436,150,286,49,39,10,8965,3377,8.9,108.3,11.4,2.4,1.0,-2.5,26.5,9.1,17.4,3.1,2.4,0.6,5.0,1.88
４４大　分,9650,880,14050,24,9,-4400,269,96,173,36,31,5,5652,2187,8.2,109.2,11.9,2.5,0.9,-3.7,27.1,9.7,17.4,3.7,3.2,0.5,4.8,1.86
４５宮　崎,9858,997,13051,27,12,-3193,321,121,200,31,23,8,5667,2421,8.8,103.2,11.6,2.7,1.2,-2.8,31.5,11.9,19.6,3.1,2.3,0.8,5.1,2.16
４６鹿児島,14841,1510,21281,28,13,-6440,419,159,260,51,41,10,8080,3113,8.8,104.8,12.6,1.9,0.9,-3.8,27.5,10.4,17.0,3.4,2.8,0.7,4.8,1.85
４７沖　縄,17074,1979,10626,46,16,6448,507,243,264,73,62,11,8842,3634,12.2,105.1,7.6,2.7,0.9,4.6,28.8,13.8,15.0,4.3,3.6,0.6,6.3,2.59
外　　　国,67,1,170,-,-,-103,10,4,6,2,2,-,　　　　 ・,　　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・
不　　　詳,　　　　 ・,　　　　 ・,1335,1,1,　　　　 ・ ,4,2,2,3,2,1,　　　　 ・,　　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・,　　　 ・
５０東京区部,74591,6859,74657,163,82,-66,1653,785,868,285,224,61,67518,18210,8.3,104.3,8.3,2.2,1.1,-0.0,21.7,10.3,11.4,3.8,3.0,0.8,7.5,2.02
５１札　幌,14487,1379,16228,34,13,-1741,446,180,266,67,56,11,10859,4555,7.5,104.9,8.4,2.3,0.9,-0.9,29.9,12.1,17.8,4.6,3.9,0.8,5.6,2.36
５２仙　台,9441,892,7843,14,2,1598,228,96,132,31,30,1,6584,1848,8.9,103.0,7.4,1.5,0.2,1.5,23.6,9.9,13.7,3.3,3.2,0.1,6.2,1.74
５３さいたま,10536,1071,9360,22,6,1176,219,93,126,30,25,5,6902,2162,8.5,110.2,7.6,2.1,0.6,1.0,20.4,8.6,11.7,2.8,2.4,0.5,5.6,1.75
５４千　葉,7707,726,7403,24,13,304,192,109,83,35,24,11,4949,1776,8.0,103.5,7.7,3.1,1.7,0.3,24.3,13.8,10.5,4.5,3.1,1.4,5.1,1.84
５５横　浜,30959,2964,28930,80,43,2029,623,329,294,138,102,36,20990,6631,8.4,104.8,7.8,2.6,1.4,0.5,19.7,10.4,9.3,4.4,3.3,1.2,5.7,1.79
５６川　崎,14257,1348,9716,30,16,4541,283,128,155,47,38,9,10549,2558,9.9,108.1,6.8,2.1,1.1,3.2,19.5,8.8,10.7,3.3,2.7,0.6,7.3,1.78
５７相模原,5769,613,5165,9,4,604,131,55,76,21,18,3,3790,1468,8.0,102.6,7.2,1.6,0.7,0.8,22.2,9.3,12.9,3.6,3.1,0.5,5.3,2.04
５８新　潟,6369,640,8027,10,6,-1658,145,70,75,29,24,5,3968,1154,7.9,105.2,9.9,1.6,0.9,-2.0,22.3,10.7,11.5,4.5,3.8,0.8,4.9,1.42
５９静　岡,5428,546,7416,6,3,-1988,140,68,72,16,15,1,3643,1268,7.6,106.8,10.4,1.1,0.6,-2.8,25.1,12.2,12.9,2.9,2.8,0.2,5.1,1.78
６０浜　松,7137,717,7570,19,11,-433,138,79,59,26,20,6,4267,1365,9.0,104.2,9.5,2.7,1.5,-0.5,19.0,10.9,8.1,3.6,2.8,0.8,5.4,1.71
６１名古屋,19610,1924,19680,43,14,-70,453,195,258,63,52,11,13870,4580,8.7,105.5,8.7,2.2,0.7,-0.0,22.6,9.7,12.9,3.2,2.6,0.6,6.1,2.02
６２京　都,11050,1118,13984,20,13,-2934,255,112,143,42,32,10,8035,2710,7.5,108.5,9.5,1.8,1.2,-2.0,22.6,9.9,12.6,3.8,2.9,0.9,5.5,1.84
６３大　阪,22763,2115,27061,59,22,-4298,582,252,330,104,87,17,17363,6562,8.5,106.3,10.1,2.6,1.0,-1.6,24.9,10.8,14.1,4.6,3.8,0.7,6.5,2.45
６４　堺　,7211,671,7626,13,5,-415,153,71,82,29,26,3,4367,1814,8.6,105.4,9.1,1.8,0.7,-0.5,20.8,9.6,11.1,4.0,3.6,0.4,5.2,2.15
６５神　戸,12357,1201,14754,19,4,-2397,320,145,175,35,32,3,8140,3046,8.0,105.2,9.6,1.5,0.3,-1.6,25.2,11.4,13.8,2.8,2.6,0.2,5.3,1.98
６６岡　山,6609,597,6414,15,5,195,146,48,98,19,16,3,4029,1455,9.3,105.9,9.0,2.3,0.8,0.3,21.6,7.1,14.5,2.9,2.4,0.5,5.7,2.04
６７広　島,11262,1058,9415,20,11,1847,209,103,106,44,34,10,6672,2227,9.5,105.2,8.0,1.8,1.0,1.6,18.2,9.0,9.2,3.9,3.0,0.9,5.6,1.89
６８北九州,8213,872,10389,24,8,-2176,251,104,147,38,33,5,5113,2075,8.4,103.4,10.7,2.9,1.0,-2.2,29.7,12.3,17.4,4.6,4.0,0.6,5.3,2.13
６９福　岡,14453,1371,10708,20,11,3745,386,159,227,49,41,8,9974,3199,9.7,107.0,7.2,1.4,0.8,2.5,26.0,10.7,15.3,3.4,2.8,0.6,6.7,2.14
７０熊　本,7144,731,6413,21,7,731,185,59,126,19,14,5,4134,1492,9.7,110.8,8.7,2.9,1.0,1.0,25.2,8.1,17.2,2.7,2.0,0.7,5.6,2.02
